No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
39,08:19:00,29.730,52.420,50.450,39.360,37.980,30.620,0.823,17.026,17.786,0.568,0.838,542.000,783.700,1.446,9.674,14.897,0.621,0.915,20.775,21.608,0.750,0.753,9.671,14.905,0.189,9.441,10.063,0.018,4155.000,62.578,42.248,9.441,52.311,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
40,08:19:30,29.740,52.650,50.660,39.400,38.020,30.620,0.827,17.014,17.784,0.570,0.841,543.600,786.600,1.447,9.694,14.950,0.623,0.919,20.761,21.605,0.749,0.753,9.698,14.956,0.189,9.439,10.060,0.018,4155.000,62.882,42.297,9.439,52.357,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
41,08:20:00,29.750,52.870,50.870,39.450,38.050,30.630,0.832,17.001,17.782,0.572,0.845,545.900,790.300,1.448,9.724,15.019,0.625,0.923,20.747,21.603,0.750,0.753,9.725,15.026,0.189,9.425,10.060,0.018,4155.000,63.262,42.354,9.425,52.413,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
42,08:20:30,29.770,53.080,51.080,39.500,38.100,30.630,0.837,16.988,17.779,0.575,0.849,548.600,794.800,1.449,9.764,15.101,0.628,0.928,20.733,21.600,0.750,0.753,9.768,15.094,0.189,9.421,10.048,0.018,4155.000,63.643,42.367,9.421,52.415,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
43,08:21:00,29.780,53.290,51.270,39.550,38.140,30.640,0.844,16.976,17.776,0.578,0.855,551.700,799.800,1.450,9.810,15.192,0.632,0.934,20.720,21.597,0.749,0.753,9.812,15.198,0.189,9.410,10.054,0.018,4155.000,64.175,42.454,9.410,52.509,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
44,08:21:30,29.790,53.480,51.460,39.600,38.180,30.640,0.850,16.965,17.773,0.581,0.860,554.800,804.800,1.451,9.857,15.284,0.635,0.940,20.708,21.594,0.750,0.753,9.857,15.285,0.189,9.400,10.049,0.018,4155.000,64.631,42.490,9.400,52.539,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
45,08:22:00,29.800,53.650,51.630,39.640,38.220,30.650,0.856,16.955,17.771,0.584,0.865,557.600,809.500,1.452,9.901,15.371,0.638,0.945,20.696,21.591,0.750,0.753,9.902,15.372,0.189,9.396,10.047,0.018,4155.000,65.087,42.542,9.396,52.589,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
46,08:22:30,29.820,53.810,51.780,39.670,38.260,30.650,0.861,16.946,17.769,0.586,0.869,560.100,813.600,1.453,9.938,15.447,0.641,0.950,20.686,21.589,0.749,0.753,9.930,15.441,0.189,9.381,10.042,0.018,4155.000,65.467,42.575,9.381,52.617,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
47,08:23:00,29.830,53.940,51.920,39.700,38.280,30.650,0.865,16.938,17.767,0.588,0.873,562.000,816.900,1.453,9.966,15.508,0.643,0.954,20.678,21.587,0.750,0.753,9.960,15.511,0.189,9.377,10.046,0.018,4155.000,65.772,42.600,9.377,52.646,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
48,08:23:30,29.840,54.050,52.030,39.720,38.300,30.660,0.868,16.931,17.766,0.590,0.875,563.300,819.300,1.454,9.984,15.552,0.644,0.957,20.670,21.586,0.750,0.753,9.989,15.545,0.189,9.383,10.039,0.018,4155.000,66.000,42.622,9.383,52.661,ON,Mostly clear; Hybrid loop operating; Ceff=1.45x
49,08:24:00,29.850,54.140,52.130,39.720,38.320,30.660,0.870,16.925,17.765,0.590,0.877,564.000,820.900,1.455,9.993,15.582,0.645,0.959,20.664,21.585,0.750,0.753,9.986,15.580,0.189,9.368,10.042,0.018,4155.000,66.152,42.637,9.368,52.679,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
50,08:24:30,29.870,54.210,52.220,39.720,38.330,30.670,0.872,16.921,17.765,0.591,0.878,564.400,822.000,1.456,9.996,15.602,0.646,0.960,20.659,21.585,0.749,0.753,10.000,15.598,0.189,9.375,10.040,0.018,4155.000,66.304,42.678,9.375,52.718,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
51,08:25:00,29.880,54.270,52.290,39.720,38.330,30.670,0.873,16.917,17.765,0.591,0.879,564.700,822.900,1.457,9.998,15.620,0.646,0.961,20.655,21.585,0.749,0.753,9.998,15.615,0.189,9.368,10.040,0.018,4155.000,66.380,42.680,9.368,52.721,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
52,08:25:30,29.890,54.330,52.360,39.710,38.330,30.670,0.874,16.913,17.765,0.591,0.880,565.100,824.000,1.458,10.002,15.641,0.646,0.962,20.651,21.585,0.750,0.753,9.996,15.633,0.189,9.359,10.038,0.018,4155.000,66.456,42.672,9.359,52.710,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
53,08:26:00,29.900,54.390,52.420,39.710,38.340,30.680,0.877,16.909,17.765,0.592,0.882,565.900,825.700,1.459,10.014,15.673,0.647,0.964,20.647,21.585,0.750,0.753,10.010,15.669,0.189,9.359,10.040,0.018,4155.000,66.684,42.730,9.359,52.771,ON,Mostly clear; Hybrid loop operating; Ceff=1.46x
